"","product_productid","review_userid","review_helpfulness","review_score"
"1","B003AI2VGA","A141HP4LYPWMSR","7/7",3
"2","B003AI2VGA","A328S9RN3U5M68","4/4",3
"3","B003AI2VGA","A1I7QGUDP043DG","8/10",5
"4","B003AI2VGA","AQJVNDW6YZFQS","3/11",1
"5","B00006HAXW","AD4CDZK7D31XP","64/65",5
"6","B00006HAXW","A3Q4S5DFVPB70D","26/26",5
"7","B00006HAXW","A2P7UB02HAVEPB","24/24",5
"8","B00006HAXW","A2TX99AZKDK0V7","22/23",4
"9","B00006HAXW","AFC8IKR407HSK","14/14",5
"10","B00006HAXW","A1FRPGQYQTAOR1","9/9",5
"11","B00006HAXW","A1RSDE90N6RSZF","9/9",5
"12","B00006HAXW","A1OUBOGB5970AO","7/7",4
"13","B00006HAXW","A3NPHQVIY59Y0Y","7/7",5
"14","B00006HAXW","AFKMBAY28XO8A","7/7",5
"15","B00006HAXW","A66KMXH9V7OGU","4/4",5
"16","B00006HAXW","AFJ27ZV9183B8","3/3",5
"17","B00006HAXW","AXMKAXC0TR9AW","5/6",5
"18","B00004CQT3","A34KFDQ5KBHZA5","18/19",5
"19","B00004CQT3","A1CIW2OEVAJRM2","14/15",5
"20","B00004CQT3","A1VJCDRXUQVXBM","10/11",5
"21","B00004CQT3","A2IMLPUXYQJTSY","7/7",5
"22","B00004CQT3","A1D12NAC1U12F0","4/4",5
"23","B00004CQT3","A3GX0UO7XXZST2","3/5",4
"24","B00004CQT3","A2942G3FDOIM18","3/5",5
"25","B004BH1TN0","AWPODHOB4GFWL","34/35",5
"26","B0071AD95K","AA72A0AYTWV5Y","5/5",5
"27","B0071AD95K","A13NO1WIGJZUV4","4/4",5
"28","B0071AD95K","AOIT2QUH8GRGA","3/3",5
"29","B0071AD95K","A2OKCS5234ZV7S","4/6",5
"30","B000063W1R","A1IJINKEDO8E8A","3/4",5
"31","B000063W1R","AQ8DU6XVA3USJ","3/4",5
"32","B000063W1R","A1ICAVFAYAJDUP","5/7",5
"33","B000063W1R","A2198FZZMTJ38H","253/269",5
"34","B000063W1R","A328S9RN3U5M68","104/110",5
"35","B000063W1R","A2V3P1XE33NYC3","85/89",4
"36","B000063W1R","A3L2U581LL17EB","26/27",4
"37","B000063W1R","A1Z9OQG9GZ26X2","31/34",4
"38","B000063W1R","A28ILXH590CMRJ","24/26",4
"39","B000063W1R","A2VOIE123XM7T5","28/32",3
"40","B000063W1R","ADX5JX5LKLC22","30/36",5
"41","B000063W1R","AA09N6UF7K8AC","13/14",5
"42","B000063W1R","A13TO1ZFAH9SVN","14/16",5
"43","B000063W1R","A2TD13LRUGU46X","3/5",5
"44","B000063W1R","A2Z71PNFQ40HF6","3/5",5
"45","B000063W1R","A16HYHVQIFMRP6","3/5",5
"46","B000063W1R","A1FYYU65Q436C2","3/5",4
"47","B000063W1R","A3FX9KYW53MRBD","35/56",1
"48","B000063W1R","A2ZQ75P93V9MX9","4/7",4
"49","B000063W1R","AED6N2DP65192","10/17",1
"50","B000063W1R","A2VN0HXQR27YF","5/9",2
"51","B000063W1R","A103VZ3KDF2RT5","5/9",1
"52","B000063W1R","AZ289K8AEXF21","5/9",5
"53","B000063W1R","A3S3HYKVSZKFNF","4/4",3
"54","B000063W1R","A3TI9JJG07FY3U","4/4",5
"55","B000063W1R","A37GQ47VYV6Z3T","6/7",2
"56","B000063W1R","A2J39S4NZE4R40","6/7",5
"57","B000063W1R","A1PILMASEE483C","6/7",4
"58","B000063W1R","AEP7IR7KT2UIA","6/7",5
"59","B000063W1R","A15XXOVX6ZNNRO","6/7",4
"60","B000063W1R","A17FLA8HQOFVIG","6/7",5
"61","B000063W1R","AJFX9A874WWHI","6/7",2
"62","B000063W1R","A141HP4LYPWMSR","3/3",4
"63","B000063W1R","A2R93V4Q29O83N","13/22",1
"64","B000063W1R","A1PO10SDIYHOMJ","8/14",1
"65","B000063W1R","A33N2SW8DMY4ZZ","3/6",5
"66","B000063W1R","A2RWH9TYO412RC","9/16",1
"67","B000063W1R","A1QQPIUXWD4G0Z","12/21",1
"68","B000063W1R","A2NHDJD281DRHM","4/8",1
"69","B000063W1R","A205217DOX0SCR","4/8",4
"70","B000063W1R","A3PU5P5DWN5OOZ","4/8",1
"71","B000063W1R","A898P4CKWFLTT","4/8",2
"72","B000063W1R","AIDZDBQXIB0SE","4/8",1
"73","B000063W1R","A15S44J4NHU4LS","4/8",5
"74","B000063W1R","A21ZR0P46CLQTE","7/13",1
"75","B000063W1R","A303AOOHDU1VZ2","7/13",1
"76","B000063W1R","A2MMIZ653FBNPT","10/18",2
"77","B000063W1R","A2DRCJ1YOFTZKK","13/23",2
"78","B000063W1R","AFPJRGS99VU8P","5/10",2
"79","B000063W1R","A3KZWXHLEMAZID","5/10",1
"80","B000063W1R","AJUDAZVU7UMJC","3/7",5
"81","B000063W1R","AIQ2YYD0AU151","8/16",1
"82","B000063W1R","AVBFGFL4E7JHF","3/3",4
"83","B000063W1R","A3QLZ79JF6R1A4","3/3",5
"84","B000063W1R","A2NJO6YE954DBH","3/3",4
"85","B000063W1R","AY99WNAYRUIFC","3/3",5
"86","B000063W1R","A1KBEHXGW71JDO","4/10",1
"87","B000063W1R","A2D4RUMDYEF0S5","5/22",1
"88","B000063W1R","A2AW4A1E87R9UH","13/50",1
"89","B000063W1R","A2YWGP8UUU66SQ","3/3",2
"90","B000063W1R","A1HBXCEAW5FEBJ","5/6",5
"91","B000063W1R","A2AFM0SLLFPSJ1","5/6",5
"92","B000063W1R","A2887J6P8VPB5H","5/6",2
"93","B000063W1R","A3I3UF46UWQJFU","7/9",5
"94","B000063W1R","A3EXIM9H3PLDX9","4/5",5
"95","B000063W1R","A2BN2CP2LDD8QJ","4/5",4
"96","B000063W1R","A2CBIB1NYHOH87","4/5",3
"97","B000063W1R","A25AXWGBGJ5KBS","4/5",4
"98","B000063W1R","A2UBFC3U1ZU7C8","4/5",3
"99","B000063W1R","A2D6TWLYZ0Z6O9","4/5",4
"100","B000063W1R","A3BXC8JS7FNH0Y","4/5",4
"101","B000NDFLWG","A3GYVMUS7SSDFW","17/18",5
"102","B000NDFLWG","AJYGQV81FSFE2","13/13",4
"103","B000NDFLWG","A39F5HLWQEZD7E","3/3",5
"104","B000NDFLWG","A21SBJ6QU1C4IX","4/5",5
"105","B000NDFLWG","APX3HA2INR9QM","8/11",3
"106","B000NDFLWG","APTVTG9K46GE0","3/5",4
"107","B000WI23KA","A1RBMOHIBUBC4U","5/5",5
"108","B008FPU7AA","A196IMI8WKWDFK","10/10",2
"109","B008FPU7AA","A62OMGKSVPZZU","8/8",3
"110","790747324.0","A1ZPC1MHSY1RUY","3/4",5
"111","790747324.0","A3BSL4PQKPH3SQ","3/4",5
"112","790747324.0","A2IMHV5ZARXIDR","3/4",5
"113","790747324.0","A25JH6CO4DVINS","5/7",4
"114","790747324.0","A2YD21XOPJ966C","5/7",5
"115","790747324.0","A1JY13815273PS","4/6",5
"116","790747324.0","A2ZSC81MXLBELX","134/135",5
