product_productid,review_userid,review_helpfulness,review_score
B003AI2VGA,A141HP4LYPWMSR,7/7,3.0
B003AI2VGA,A328S9RN3U5M68,4/4,3.0
B003AI2VGA,A1I7QGUDP043DG,8/10,5.0
B003AI2VGA,A1M5405JH9THP9,1/1,3.0
B003AI2VGA,ATXL536YX71TR,1/1,3.0
B003AI2VGA,A3QYDL5CDNYN66,0/0,2.0
B003AI2VGA,AQJVNDW6YZFQS,3/11,1.0
B00006HAXW,AD4CDZK7D31XP,64/65,5.0
B00006HAXW,A3Q4S5DFVPB70D,26/26,5.0
B00006HAXW,A2P7UB02HAVEPB,24/24,5.0
B00006HAXW,A2TX99AZKDK0V7,22/23,4.0
B00006HAXW,AFC8IKR407HSK,14/14,5.0
B00006HAXW,A1FRPGQYQTAOR1,9/9,5.0
B00006HAXW,A1RSDE90N6RSZF,9/9,5.0
B00006HAXW,A1OUBOGB5970AO,7/7,4.0
B00006HAXW,A3NPHQVIY59Y0Y,7/7,5.0
B00006HAXW,AFKMBAY28XO8A,7/7,5.0
B00006HAXW,A66KMXH9V7OGU,4/4,5.0
B00006HAXW,AFJ27ZV9183B8,3/3,5.0
B00006HAXW,AXMKAXC0TR9AW,5/6,5.0
B00004CQT3,A34KFDQ5KBHZA5,18/19,5.0
B00004CQT3,A1CIW2OEVAJRM2,14/15,5.0
B00004CQT3,A1VJCDRXUQVXBM,10/11,5.0
B00004CQT3,A2IMLPUXYQJTSY,7/7,5.0
B00004CQT3,A1D12NAC1U12F0,4/4,5.0
B00004CQT3,A3RVH9HUN9J4LZ,1/1,5.0
B00004CQT3,AH7ZNGM8WOOGN,1/1,5.0
B00004CQT3,A2582KMXLK2P06,0/0,3.0
B00004CQT3,A1J50B4K22D93F,0/0,5.0
B00004CQT3,A2DLKD4AC5JV5Q,0/0,4.0
B00004CQT3,A8DDTUL8OWFMO,0/0,5.0
B00004CQT3,A174WE983H06N4,0/0,5.0
B00004CQT3,ASES4LU7WKYC,0/0,5.0
B00004CQT3,A3N27L13CWJ9HY,0/0,5.0
B00004CQT3,A2H5D7IK9SF07M,0/0,5.0
B00004CQT3,A2URPOBDQK3WG,0/0,5.0
B00004CQT3,A2TTVV34NLMZI8,0/0,5.0
B00004CQT3,A7LRQFZW3D9NE,0/0,5.0
B00004CQT3,A2R1VN4J5L2ZCO,0/0,5.0
B00004CQT3,A2I6MHMAZZDCRX,0/0,3.0
B00004CQT3,A3GX0UO7XXZST2,3/5,4.0
B00004CQT3,A2942G3FDOIM18,3/5,5.0
B00004CQT3,A11L5M4MJP00UW,2/6,3.0
B00004CQT3,A2VDM3D712BGLE,1/5,1.0
B00004CQT4,A1NN07FHTQZZ6K,0/0,5.0
B00004CQT4,A245OASCPKPJHC,0/0,4.0
B00004CQT4,AVQRC2N2SSSYS,0/0,4.0
B00004CQT4,A2ON9S58W4AZ1Z,0/0,5.0
B00004CQT4,A3IG9WGCIHPJ6X,0/1,4.0
B006JIUN2W,A44YJ6ZLTMAR6,1/1,5.0
B0078V2LCY,A27H9DOUGY9FOS,1/1,3.0
B0078V2LCY,A39M64IZTC04G0,0/0,4.0
B003ZG3GAM,ATK3QFC6L1318,0/0,5.0
B004BH1TN0,AWPODHOB4GFWL,34/35,5.0
B004BH1TN0,A1R6DF0KOJ0TG6,2/2,5.0
B004BH1TN0,A9Q28YTLYREO7,2/2,4.0
B004BH1TN0,AVV8PPI6BDKVA,2/2,5.0
B004BH1TN0,A14HV65O34S8EF,0/0,3.0
B004BH1TN0,A39I79H1A2A8C3,0/0,4.0
B004BH1TN0,A2M4H4R4Z7UDZX,0/0,5.0
B004BH1TN0,A2WFI5XFB7NHHJ,0/0,4.0
B004BH1TN0,AUQW6UEZFC7B2,0/0,5.0
B0071AD95K,AA72A0AYTWV5Y,5/5,5.0
B0071AD95K,A13NO1WIGJZUV4,4/4,5.0
B0071AD95K,AOIT2QUH8GRGA,3/3,5.0
B0071AD95K,A2D595HNMO9PHR,1/1,5.0
B0071AD95K,A3ENN12GLNTUAF,1/1,5.0
B0071AD95K,A2OKCS5234ZV7S,4/6,5.0
B0071AD95K,A1MXSUEA3ZK5UZ,0/0,5.0
B0071AD95K,A31YQQYX9PU04Z,0/0,4.0
B0071AD95K,A2BTR8ZO8MB01D,0/0,5.0
B000063W1R,A29DLKCN8QWO7B,1/1,5.0
B000063W1R,A295JWKTJLM7YT,1/1,5.0
B000063W1R,A1M3W0ROKC7F3C,1/1,5.0
B000063W1R,A2M2O1DI1SCQDI,1/1,5.0
B000063W1R,A2IOMS4TK2QSFW,1/1,4.0
B000063W1R,A2YWH9COGWT8VU,1/1,5.0
B000063W1R,A3QIEISBZP4QTV,1/1,5.0
B000063W1R,A17RUD7RKGZUA4,1/1,5.0
B000063W1R,A18758S1PUYIDT,1/1,4.0
B000063W1R,A2UFG3DMVELP6I,1/1,5.0
B000063W1R,A4FBBS25X3XEL,1/1,5.0
B000063W1R,A23Q1T4MXZHFM7,1/1,3.0
B000063W1R,ANZNLFBN62YKH,1/1,5.0
B000063W1R,A2FX6OHBMQ9545,1/1,4.0
B000063W1R,A1MIFONBFK8OWE,1/1,4.0
B000063W1R,A1DZ4MTJY8LAVG,1/1,4.0
B000063W1R,A3NNR95R50VB4W,1/1,5.0
B000063W1R,A19O5ETNRJN39D,1/1,5.0
B000063W1R,AMEJTGF5NQLNH,1/1,3.0
B000063W1R,A1DDVFGUC6NQD3,1/1,5.0
B000063W1R,A36SSF310LBGSE,1/1,3.0
B000063W1R,A63FDY7VFOMQV,1/1,5.0
B000063W1R,A3R95JCH1K9R0S,1/1,5.0
B000063W1R,A2IT3899H776LW,1/1,5.0
B000063W1R,A3NWP0SFAC0ZD2,1/1,5.0
B000063W1R,A1AFHYBINSG7PH,1/1,4.0
B000063W1R,A3N2MVBI1A2I9Y,1/1,5.0
B000063W1R,A3VP6XR88INLRB,1/1,4.0
B000063W1R,A355WMP0CQBJFX,1/1,5.0
B000063W1R,A2CU4L3OK00M23,1/1,5.0
B000063W1R,A41I67QYRAOSQ,1/1,4.0
B000063W1R,A1XY417YALQB6G,1/1,5.0
B000063W1R,A2PNB2HQTF51UE,1/1,5.0
B000063W1R,ATQDMCZ904Y4W,1/1,5.0
B000063W1R,A1IJINKEDO8E8A,3/4,5.0
B000063W1R,AQ8DU6XVA3USJ,3/4,5.0
B000063W1R,A1ICAVFAYAJDUP,5/7,5.0
B000063W1R,ALX2RTJW3NF0O,2/3,4.0
B000063W1R,A1KPXFWEB2TLGR,2/3,5.0
B000063W1R,A2M6FIWDCDWDVM,2/3,5.0
B000063W1R,A3QEBUBAQHE4DI,2/3,4.0
B000063W1R,A3AE7GKA6NF3ML,2/3,5.0
B000063W1R,A1FBZRYTAA6O1Z,2/3,5.0
B000063W1R,A2FEGRJQNU51P9,2/3,4.0
B000063W1R,A18XYPKYS15YBP,2/3,3.0
B000063W1R,A1EMDSTJDUE6B0,2/3,5.0
B000063W1R,A7FMCZZVFHRLW,2/3,4.0
B000063W1R,A861XPXU3SH9M,2/3,5.0
B000063W1R,A2H3SK7N5T2ASO,0/0,5.0
B000063W1R,A15BHBF0L0HV1F,0/0,5.0
B000063W1R,A1748KGXK92TXY,0/0,5.0
B000063W1R,A1LG64CVEGG5NT,0/0,5.0
B000063W1R,A3EIH6UL4N0YW,0/0,4.0
B000063W1R,A3TBQJ5HEV51ZC,0/0,5.0
B000063W1R,A1A19C00QZVRTK,0/0,5.0
B000063W1R,A2DPL3M7VU1GYZ,0/0,5.0
B000063W1R,A100Y8WSLFJN7Q,0/0,5.0
B000063W1R,A17WER66R17JEF,0/0,5.0
B000063W1R,A2198FZZMTJ38H,253/269,5.0
B000063W1R,A328S9RN3U5M68,104/110,5.0
B000063W1R,A2V3P1XE33NYC3,85/89,4.0
B000063W1R,A3L2U581LL17EB,26/27,4.0
B000063W1R,A1Z9OQG9GZ26X2,31/34,4.0
B000063W1R,A28ILXH590CMRJ,24/26,4.0
B000063W1R,A2VOIE123XM7T5,28/32,3.0
B000063W1R,ADX5JX5LKLC22,30/36,5.0
B000063W1R,AA09N6UF7K8AC,13/14,5.0
B000063W1R,A13TO1ZFAH9SVN,14/16,5.0
B000063W1R,AWR2BFHVWHKXT,0/0,5.0
B000063W1R,A1NHXG2NDI7MXG,0/0,4.0
B000063W1R,A1VE2B3RHJQZHM,0/0,5.0
B000063W1R,AM3W8N7L2AWFF,0/0,3.0
B000063W1R,A17JY4CJX89PQD,0/0,5.0
B000063W1R,A478YKPNCTUSI,0/0,5.0
B000063W1R,ANGAFKOX9IG3W,0/0,4.0
B000063W1R,A2W41HPK58KR10,0/0,5.0
B000063W1R,A1LRF0ZCQHIK0I,0/0,4.0
B000063W1R,AC4P2ILHYJS3S,0/0,5.0
B000063W1R,A2SZDYCNZPTM74,0/0,5.0
B000063W1R,AJ9G7XEBLY56C,0/0,5.0
B000063W1R,A1O0FV74YJWRPL,0/0,5.0
B000063W1R,A17JF9HPSP3J3H,0/0,5.0
B000063W1R,A2RX6PA6YAUGXW,0/0,5.0
B000063W1R,A25M5W25GQPGDW,0/0,5.0
B000063W1R,AHPAI9KYAUMGF,0/0,5.0
B000063W1R,ATTETV8QSM1EX,0/0,4.0
B000063W1R,A1UGZNYU3NHKTY,0/0,5.0
B000063W1R,A396KT0U4VOI1E,0/0,5.0
B000063W1R,A3J6UKT3S8GZ1K,0/0,5.0
B000063W1R,A1HHG9CDRDS8IG,0/0,5.0
B000063W1R,A22TGAZTYUERZN,0/0,5.0
B000063W1R,AO9A87DKEUH6J,0/0,5.0
B000063W1R,A3LXHBXOVW3TZU,0/0,5.0
B000063W1R,A37D2QEU08C1G8,0/0,5.0
B000063W1R,A1Z6PSZN53T7BL,0/0,4.0
B000063W1R,A9SBB3KS4EOAN,0/0,5.0
B000063W1R,A1I7EUZ6IGE4IX,0/0,5.0
B000063W1R,A1NISD0L3OTTYH,0/0,5.0
B000063W1R,A37SEUCH6PISDK,0/0,5.0
B000063W1R,A1AIV6MT6LKX1N,0/0,5.0
B000063W1R,A32L8SSXE7OKGK,0/0,5.0
B000063W1R,ANCOMAI0I7LVG,0/0,5.0
B000063W1R,A3C7H0F73YXNTS,0/0,5.0
B000063W1R,A2XUIU2GOMA68G,0/0,5.0
B000063W1R,A3EFCK0HZQPNQI,0/0,4.0
B000063W1R,A1U8WDQGJ0HZBP,0/0,5.0
B000063W1R,A3SPJY549DXL10,0/0,5.0
B000063W1R,A2RW7HXNEJ0QTQ,0/0,5.0
B000063W1R,A4OWXQLYVER4R,0/0,4.0
B000063W1R,AG9A3ZL7ODL6X,0/0,5.0
B000063W1R,A2XTMDDO0UCOGW,0/0,5.0
B000063W1R,A3GV24GH1AFXDJ,0/0,5.0
B000063W1R,A1VT9SADFD9BZV,0/0,5.0
B000063W1R,A31VEVBN7K842C,0/0,4.0
B000063W1R,A1O05HYBO2L271,0/0,5.0
B000063W1R,A1UMSB7LAW0RIR,0/0,5.0
B000063W1R,A22QDGL361UBG8,0/0,5.0
B000063W1R,A27GP310AJR9JI,0/0,4.0
B000063W1R,A39CX0EE4BZCZC,0/0,5.0
B000063W1R,A30PZUE2YQHXGJ,0/0,5.0
B000063W1R,A91VKBOACYQ7F,0/0,5.0
B000063W1R,A3VC1CIRFDXJAY,0/0,5.0
B000063W1R,A2PKRPEODLQSH1,0/0,4.0
B000063W1R,A3A4WQL80WOTMH,0/0,4.0
B000063W1R,A273SGLDMWWZ66,0/0,5.0
B000063W1R,A1GHUN5HXMHZ89,0/0,4.0
B000063W1R,AAVLB0GGEKRCO,0/0,5.0
B000063W1R,A88PY6TRF86XF,0/0,4.0
B000063W1R,A2GB3S7X9KV11X,0/0,4.0
B000063W1R,A2PC9EFEVC8W59,0/0,4.0
B000063W1R,A15Q7ABIU9O9YZ,0/0,5.0
B000063W1R,A2NUHWMHA9XNKV,0/0,5.0
B000063W1R,A25HYPL2XKQPZB,0/0,4.0
B000063W1R,A1BZZNC5DJG3TZ,0/0,5.0
B000063W1R,A2TD13LRUGU46X,3/5,5.0
