"","V1","product_productid","review_userid","review_helpfulness","review_score","V1","V2"
"1","1","B003AI2VGA","A141HP4LYPWMSR","7/7",3,"The Virgin of Juarez","Drama"
"2","2","B003AI2VGA","A328S9RN3U5M68","4/4",3,"The Virgin of Juarez","Drama"
"3","3","B003AI2VGA","A1I7QGUDP043DG","8/10",5,"The Virgin of Juarez","Drama"
"4","4","B003AI2VGA","AQJVNDW6YZFQS","3/11",1,"The Virgin of Juarez","Drama"
"5","5","B00006HAXW","AD4CDZK7D31XP","64/65",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"6","6","B00006HAXW","A3Q4S5DFVPB70D","26/26",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"7","7","B00006HAXW","A2P7UB02HAVEPB","24/24",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"8","8","B00006HAXW","A2TX99AZKDK0V7","22/23",4,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"9","9","B00006HAXW","AFC8IKR407HSK","14/14",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"10","10","B00006HAXW","A1FRPGQYQTAOR1","9/9",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"11","11","B00006HAXW","A1RSDE90N6RSZF","9/9",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"12","12","B00006HAXW","A1OUBOGB5970AO","7/7",4,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"13","13","B00006HAXW","A3NPHQVIY59Y0Y","7/7",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"14","14","B00006HAXW","AFKMBAY28XO8A","7/7",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"15","15","B00006HAXW","A66KMXH9V7OGU","4/4",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"16","16","B00006HAXW","AFJ27ZV9183B8","3/3",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"17","17","B00006HAXW","AXMKAXC0TR9AW","5/6",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"18","18","B00004CQT3","A34KFDQ5KBHZA5","18/19",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"19","19","B00004CQT3","A1CIW2OEVAJRM2","14/15",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"20","20","B00004CQT3","A1VJCDRXUQVXBM","10/11",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"21","21","B00004CQT3","A2IMLPUXYQJTSY","7/7",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"22","22","B00004CQT3","A1D12NAC1U12F0","4/4",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"23","23","B00004CQT3","A3GX0UO7XXZST2","3/5",4,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"24","24","B00004CQT3","A2942G3FDOIM18","3/5",5,"Rock Rhythm & Doo Wop: Greatest Early Rock","Drama"
"25","25","B004BH1TN0","AWPODHOB4GFWL","34/35",5,"Bee Gees - Live By Request (Import, All Regions)","Music Videos & Concerts"
"26","26","B0071AD95K","AA72A0AYTWV5Y","5/5",5,"Louie Giglio - Hope: When Life Hurts Most (Passion Talk Series)","Music Videos & Concerts"
"27","27","B0071AD95K","A13NO1WIGJZUV4","4/4",5,"Louie Giglio - Hope: When Life Hurts Most (Passion Talk Series)","Music Videos & Concerts"
